PID,Time_Bin,Mean_RSSI,Median_RSSI,Std_RSSI,Var_RSSI,Max_RSSI,Min_RSSI,Mean_Time_Interval,Std_Time_Interval,Unique_Locations,RSSI_Count,Counterfeit
PID002B,2019-07-30 12:16:00,-64.55525525525526,-66.0,0.9786168935424318,1.5531013772393083,-55.0,-76.0,1.010103448275862,0.003829815620200149,3,3154.0,0
PID002A,2019-07-24 12:07:00,-64.89973325878545,-63.75,1.4697153672768297,2.647992146460706,-54.0,-78.0,0.890208880569138,0.005869894805244003,2,4725.48391537132,1
PID002D,2019-07-30 14:04:30,-64.5287183279109,-64.0,1.2246070492131957,2.288620245982279,-53.0,-77.0,1.0122758620689654,0.0036926234549836787,3,3049.0,0
PID002C,2019-07-30 13:04:00,-64.38097826086957,-64.5,0.8584111906003877,1.0749814341081207,-54.0,-77.0,1.0120344827586207,0.004411695160274826,2,3074.0,0
PID001,2019-07-24 09:58:30,-64.35149911816579,-64.0,1.2105761354680866,2.448598863413678,-54.0,-78.0,1.0552962962962962,0.051691254144059555,1,3773.0,0
PID003,2019-07-31 12:14:00,-64.78976777939043,-64.5,0.8215355854758472,0.9619990657791567,-55.0,-77.0,1.010655172413793,0.003715564387709077,1,3079.0,0
PID002E,2019-07-30 15:02:30,-64.42142424242425,-64.5,0.9189800212965158,1.2035432696874706,-53.0,-78.0,1.0122758620689656,0.006088024261520904,1,2934.0,0
PID002D,2019-07-30 14:11:30,-64.33772819472617,-64.0,0.886207450467082,1.136675359799092,-54.0,-77.0,1.0106785714285713,0.002829128532599455,1,2925.0,0
PID002A,2019-07-24 12:21:30,-64.62325828309342,-64.0,1.61934472748442,4.193659565405031,-53.0,-78.0,1.0133571428571428,0.006662300157321314,2,3889.0,0
PID004,2019-07-31 15:46:00,-64.38184799355044,-64.0,0.9697498864293251,1.3070252644891647,-54.0,-78.0,1.0127142857142857,0.005353137832718739,1,2916.0,0
PID004,2019-07-31 16:00:00,-64.96468451033668,-64.25,1.157398977939517,1.8282390256326364,-55.0,-78.0,1.0112413793103447,0.003804651029743481,2,3078.0,0
